[2025-07-09 22:43:20,996] [INFO] [django.server] "GET /static/img/logo.svg HTTP/1.1" 200 21415
[2025-07-09 22:48:32,241] [INFO] [django.utils.autoreload] C:\Users\User\Desktop\Hiring Platform Project\SourceCode\placeme\recruiters\views.py changed, reloading.
[2025-07-09 22:48:33,996] [INFO] [django.utils.autoreload] Watching for file changes with StatReloader
[2025-07-09 22:48:43,254] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38420
[2025-07-09 22:48:43,518] [INFO] [django.server] "GET /static/css/recruiters/side-nav-2.css HTTP/1.1" 200 5059
[2025-07-09 22:48:43,521] [INFO] [django.server] "GET /static/css/recruiters/side-nav-5.css HTTP/1.1" 200 12965
[2025-07-09 22:48:43,523] [INFO] [django.server] "GET /static/css/recruiters/footer.css HTTP/1.1" 200 3156
[2025-07-09 22:48:43,528] [INFO] [django.server] "GET /static/css/error.css HTTP/1.1" 200 3545
[2025-07-09 22:48:43,530] [INFO] [django.server] "GET /static/css/notification.css HTTP/1.1" 200 2136
[2025-07-09 22:48:43,533] [INFO] [django.server] "GET /static/css/model.css HTTP/1.1" 200 8230
[2025-07-09 22:48:43,537] [INFO] [django.server] "GET /static/css/loading.css HTTP/1.1" 200 1014
[2025-07-09 22:48:43,540] [INFO] [django.server] "GET /static/css/recruiters/post-left.css HTTP/1.1" 200 4591
[2025-07-09 22:48:43,543] [INFO] [django.server] "GET /static/css/recruiters/post-right.css HTTP/1.1" 200 8969
[2025-07-09 22:48:43,546] [INFO] [django.server] "GET /static/css/recruiters/post-filter-mobile.css HTTP/1.1" 200 12354
[2025-07-09 22:48:43,550] [INFO] [django.server] "GET /static/css/recruiters/table.css HTTP/1.1" 200 5591
[2025-07-09 22:48:43,558] [WARNING] [django.request] Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-07-09 22:48:43,558] [WARNING] [django.server] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 7058
[2025-07-09 22:48:43,560] [INFO] [django.server] "GET /static/css/recruiters/side-nav-1.css HTTP/1.1" 200 8138
[2025-07-09 22:48:43,561] [INFO] [django.server] "GET /static/css/recruiters/top-nav.css HTTP/1.1" 200 2535
[2025-07-09 22:48:43,561] [INFO] [django.server] "GET /static/img/logo.svg HTTP/1.1" 200 21415
[2025-07-09 22:48:43,565] [INFO] [django.server] "GET /static/js/recruiters/position-manager.js HTTP/1.1" 200 1392
[2025-07-09 22:48:43,568] [INFO] [django.server] "GET /static/js/cookie/js.cookie.min.js HTTP/1.1" 200 1731
[2025-07-09 22:48:43,571] [INFO] [django.server] "GET /static/css/recruiters/side-nav-4.css HTTP/1.1" 200 5067
[2025-07-09 22:48:43,574] [INFO] [django.server] "GET /static/css/recruiters/body.css HTTP/1.1" 200 4892
[2025-07-09 22:48:43,580] [INFO] [django.server] "GET /static/js/recruiters/post.js HTTP/1.1" 200 2783
[2025-07-09 22:48:43,580] [INFO] [django.server] "GET /static/css/recruiters/side-nav-3.css HTTP/1.1" 200 5013
[2025-07-09 22:48:43,586] [INFO] [django.server] "GET /static/js/recruiters/table.js HTTP/1.1" 200 1049
[2025-07-09 22:48:43,591] [INFO] [django.server] "GET /static/js/recruiters/post-form-submit.js HTTP/1.1" 200 2610
[2025-07-09 22:48:43,595] [INFO] [django.server] "GET /static/js/recruiters/nav.js HTTP/1.1" 200 5681
[2025-07-09 22:48:43,600] [INFO] [django.server] "GET /static/js/error.js HTTP/1.1" 200 3832
[2025-07-09 22:48:43,605] [INFO] [django.server] "GET /static/js/jobseeker/notification.js HTTP/1.1" 200 1030
